architecture,n_params,final_loss_mean,final_loss_std,rel_l2_mean,rel_l2_std,mean_abs_error_mean,mean_abs_error_std,wall_time_mean,wall_time_std,time_per_epoch_ms
KAN,900,0.0005950638151261955,0.0001187894540231829,0.004658382805064321,0.000920533193336519,11.016983306943413,4.2164535593205255,503.9118693799999,37.09808571642559,167.97062312666665
MLP,921,0.0017709838692098856,0.0003074195541162224,0.007262902241200209,0.001085923563663695,16.15604653716333,3.537896648686393,30.846268419999614,9.146794709672712,10.282089473333205
